Number of nodes = 6109
mode number = 587, l = 24, m = -13
mode number = 588, l = 24, m = -12
mode number = 589, l = 24, m = -11
mode number = 590, l = 24, m = -10
mode number = 591, l = 24, m = -9
mode number = 592, l = 24, m = -8
mode number = 593, l = 24, m = -7
mode number = 594, l = 24, m = -6
mode number = 595, l = 24, m = -5
mode number = 596, l = 24, m = -4
mode number = 597, l = 24, m = -3
mode number = 598, l = 24, m = -2
mode number = 599, l = 24, m = -1
mode number = 600, l = 24, m = 0
mode number = 601, l = 24, m = 1
mode number = 602, l = 24, m = 2
mode number = 603, l = 24, m = 3
mode number = 604, l = 24, m = 4
mode number = 605, l = 24, m = 5
mode number = 606, l = 24, m = 6
mode number = 607, l = 24, m = 7
mode number = 608, l = 24, m = 8
mode number = 609, l = 24, m = 9
mode number = 610, l = 24, m = 10
mode number = 611, l = 24, m = 11
mode number = 612, l = 24, m = 12
mode number = 613, l = 24, m = 13
mode number = 614, l = 24, m = 14
mode number = 615, l = 24, m = 15
mode number = 616, l = 24, m = 16
mode number = 617, l = 24, m = 17
mode number = 618, l = 24, m = 18
mode number = 619, l = 24, m = 19
mode number = 620, l = 24, m = 20
mode number = 621, l = 24, m = 21
mode number = 622, l = 24, m = 22
mode number = 623, l = 24, m = 23
mode number = 624, l = 24, m = 24
mode number = 625, l = 25, m = -25
mode number = 626, l = 25, m = -24
mode number = 627, l = 25, m = -23
mode number = 628, l = 25, m = -22
mode number = 629, l = 25, m = -21
mode number = 630, l = 25, m = -20
mode number = 631, l = 25, m = -19
mode number = 632, l = 25, m = -18
mode number = 633, l = 25, m = -17
mode number = 634, l = 25, m = -16
mode number = 635, l = 25, m = -15
mode number = 636, l = 25, m = -14
mode number = 637, l = 25, m = -13
mode number = 638, l = 25, m = -12
mode number = 639, l = 25, m = -11
mode number = 640, l = 25, m = -10
mode number = 641, l = 25, m = -9
mode number = 642, l = 25, m = -8
mode number = 643, l = 25, m = -7
mode number = 644, l = 25, m = -6
mode number = 645, l = 25, m = -5
mode number = 646, l = 25, m = -4
mode number = 647, l = 25, m = -3
mode number = 648, l = 25, m = -2
mode number = 649, l = 25, m = -1
mode number = 650, l = 25, m = 0
mode number = 651, l = 25, m = 1
mode number = 652, l = 25, m = 2
mode number = 653, l = 25, m = 3
mode number = 654, l = 25, m = 4
mode number = 655, l = 25, m = 5
mode number = 656, l = 25, m = 6
mode number = 657, l = 25, m = 7
mode number = 658, l = 25, m = 8
mode number = 659, l = 25, m = 9
mode number = 660, l = 25, m = 10
mode number = 661, l = 25, m = 11
mode number = 662, l = 25, m = 12
mode number = 663, l = 25, m = 13
mode number = 664, l = 25, m = 14
mode number = 665, l = 25, m = 15
mode number = 666, l = 25, m = 16
mode number = 667, l = 25, m = 17
mode number = 668, l = 25, m = 18
mode number = 669, l = 25, m = 19
mode number = 670, l = 25, m = 20
mode number = 671, l = 25, m = 21
mode number = 672, l = 25, m = 22
mode number = 673, l = 25, m = 23
mode number = 674, l = 25, m = 24
mode number = 675, l = 25, m = 25
mode number = 676, l = 26, m = -26
mode number = 677, l = 26, m = -25
mode number = 678, l = 26, m = -24
mode number = 679, l = 26, m = -23
mode number = 680, l = 26, m = -22
mode number = 681, l = 26, m = -21
mode number = 682, l = 26, m = -20
mode number = 683, l = 26, m = -19
mode number = 684, l = 26, m = -18
mode number = 685, l = 26, m = -17
mode number = 686, l = 26, m = -16
mode number = 687, l = 26, m = -15
mode number = 688, l = 26, m = -14
mode number = 689, l = 26, m = -13
mode number = 690, l = 26, m = -12
mode number = 691, l = 26, m = -11
mode number = 692, l = 26, m = -10
mode number = 693, l = 26, m = -9
mode number = 694, l = 26, m = -8
mode number = 695, l = 26, m = -7
mode number = 696, l = 26, m = -6
mode number = 697, l = 26, m = -5
mode number = 698, l = 26, m = -4
mode number = 699, l = 26, m = -3
mode number = 700, l = 26, m = -2
mode number = 701, l = 26, m = -1
mode number = 702, l = 26, m = 0
mode number = 703, l = 26, m = 1
mode number = 704, l = 26, m = 2
mode number = 705, l = 26, m = 3
mode number = 706, l = 26, m = 4
mode number = 707, l = 26, m = 5
mode number = 708, l = 26, m = 6
mode number = 709, l = 26, m = 7
mode number = 710, l = 26, m = 8
mode number = 711, l = 26, m = 9
mode number = 712, l = 26, m = 10
mode number = 713, l = 26, m = 11
mode number = 714, l = 26, m = 12
mode number = 715, l = 26, m = 13
mode number = 716, l = 26, m = 14
mode number = 717, l = 26, m = 15
mode number = 718, l = 26, m = 16
mode number = 719, l = 26, m = 17
mode number = 720, l = 26, m = 18
mode number = 721, l = 26, m = 19
mode number = 722, l = 26, m = 20
mode number = 723, l = 26, m = 21
mode number = 724, l = 26, m = 22
mode number = 725, l = 26, m = 23
mode number = 726, l = 26, m = 24
mode number = 727, l = 26, m = 25
mode number = 728, l = 26, m = 26
mode number = 729, l = 27, m = -27
mode number = 730, l = 27, m = -26
mode number = 731, l = 27, m = -25
mode number = 732, l = 27, m = -24
mode number = 733, l = 27, m = -23
mode number = 734, l = 27, m = -22
mode number = 735, l = 27, m = -21
mode number = 736, l = 27, m = -20
mode number = 737, l = 27, m = -19
mode number = 738, l = 27, m = -18
mode number = 739, l = 27, m = -17
mode number = 740, l = 27, m = -16
mode number = 741, l = 27, m = -15
mode number = 742, l = 27, m = -14
mode number = 743, l = 27, m = -13
mode number = 744, l = 27, m = -12
mode number = 745, l = 27, m = -11
mode number = 746, l = 27, m = -10
mode number = 747, l = 27, m = -9
mode number = 748, l = 27, m = -8
mode number = 749, l = 27, m = -7
mode number = 750, l = 27, m = -6
mode number = 751, l = 27, m = -5
mode number = 752, l = 27, m = -4
mode number = 753, l = 27, m = -3
mode number = 754, l = 27, m = -2
mode number = 755, l = 27, m = -1
mode number = 756, l = 27, m = 0
mode number = 757, l = 27, m = 1
mode number = 758, l = 27, m = 2
mode number = 759, l = 27, m = 3
mode number = 760, l = 27, m = 4
mode number = 761, l = 27, m = 5
mode number = 762, l = 27, m = 6
mode number = 763, l = 27, m = 7
mode number = 764, l = 27, m = 8
mode number = 765, l = 27, m = 9
mode number = 766, l = 27, m = 10
mode number = 767, l = 27, m = 11
mode number = 768, l = 27, m = 12
mode number = 769, l = 27, m = 13
mode number = 770, l = 27, m = 14
mode number = 771, l = 27, m = 15
mode number = 772, l = 27, m = 16
mode number = 773, l = 27, m = 17
mode number = 774, l = 27, m = 18
mode number = 775, l = 27, m = 19
mode number = 776, l = 27, m = 20
mode number = 777, l = 27, m = 21
mode number = 778, l = 27, m = 22
mode number = 779, l = 27, m = 23
mode number = 780, l = 27, m = 24
mode number = 781, l = 27, m = 25
mode number = 782, l = 27, m = 26
mode number = 783, l = 27, m = 27
mode number = 784, l = 28, m = -28
mode number = 785, l = 28, m = -27
mode number = 786, l = 28, m = -26
mode number = 787, l = 28, m = -25
mode number = 788, l = 28, m = -24
mode number = 789, l = 28, m = -23
mode number = 790, l = 28, m = -22
mode number = 791, l = 28, m = -21
mode number = 792, l = 28, m = -20
mode number = 793, l = 28, m = -19
mode number = 794, l = 28, m = -18
mode number = 795, l = 28, m = -17
mode number = 796, l = 28, m = -16
mode number = 797, l = 28, m = -15
mode number = 798, l = 28, m = -14
mode number = 799, l = 28, m = -13
mode number = 800, l = 28, m = -12
mode number = 801, l = 28, m = -11
mode number = 802, l = 28, m = -10
mode number = 803, l = 28, m = -9
mode number = 804, l = 28, m = -8
mode number = 805, l = 28, m = -7
mode number = 806, l = 28, m = -6
mode number = 807, l = 28, m = -5
mode number = 808, l = 28, m = -4
mode number = 809, l = 28, m = -3
mode number = 810, l = 28, m = -2
mode number = 811, l = 28, m = -1
mode number = 812, l = 28, m = 0
mode number = 813, l = 28, m = 1
mode number = 814, l = 28, m = 2
mode number = 815, l = 28, m = 3
mode number = 816, l = 28, m = 4
mode number = 817, l = 28, m = 5
mode number = 818, l = 28, m = 6
mode number = 819, l = 28, m = 7
mode number = 820, l = 28, m = 8
